index,name,n_rows,n_empty,empty_rate,n_distinct,n_distinct_nonempty,all_nonempty_match_decimal,all_nonempty_match_integer,min_decimal,max_decimal,n_negative,n_zero,n_with_leading_zero,n_with_leading_zero_any,min_len,max_len,is_constant,looks_unique,n_candidate_sentinel_values,top1_value,top1_count
33,windspeed_hist,62834,0,0.0,58971,58971,True,False,1.967730050000000,24.419700620000000,0,0,,0,17,18,False,False,0,10.114700320000001,4
34,windspeed_rcp45_midc,62834,0,0.0,59029,59029,True,False,1.900650020000000,24.427200320000001,0,0,,0,17,18,False,False,0,10.561699870000000,4
35,windspeed_rcp45_endc,62834,0,0.0,59075,59075,True,False,1.950559970000000,23.967100139999999,0,0,,0,17,18,False,False,0,10.176099779999999,4
36,windspeed_rcp85_midc,62834,0,0.0,59024,59024,True,False,1.912909980000000,24.578699109999999,0,0,,0,17,18,False,False,0,10.102600100000000,4
37,windspeed_rcp85_endc,62834,0,0.0,59196,59196,True,False,1.949830060000000,24.274999619999999,0,0,,0,17,18,False,False,0,6.080359940000000,4
38,windspeed_mid45_hist,62834,0,0.0,59708,59708,True,False,-0.666149970000000,0.402815010000000,44726,0,,0,17,18,False,False,0,-0.010850900000000,4
39,windspeed_end45_hist,62834,0,0.0,60634,60634,True,False,-0.662729020000000,1.633409980000000,10155,0,,0,17,18,False,False,0,0.021452000000000,4
40,windspeed_mid85_hist,62834,0,0.0,60395,60395,True,False,-0.650309980000000,0.517817020000000,31855,0,,0,17,18,False,False,0,0.022947300000000,4
41,windspeed_end85_hist,62834,0,0.0,60939,60939,True,False,-1.445189950000000,0.904313030000000,39499,0,,0,17,18,False,False,0,-0.014094400000000,3
42,windspeed_mid85_45,62834,0,0.0,59057,59057,True,False,-0.361216990000000,0.434388010000000,18413,0,,0,17,18,False,False,0,-0.004382130000000,4
43,windspeed_end85_45,62834,0,0.0,60380,60380,True,False,-1.957589980000000,0.621168970000000,59060,0,,0,17,18,False,False,0,-0.185674000000000,4
44,tempmaxann_hist,62834,0,0.0,58542,58542,True,False,9.471329689999999,85.500000000000000,0,0,,0,17,18,False,False,0,50.193099980000000,4
45,tempmaxann_rcp45_midc,62834,0,0.0,58486,58486,True,False,12.148099900000000,87.449897770000007,0,0,,0,18,18,False,False,0,75.390602110000003,5
46,tempmaxann_rcp45_endc,62834,0,0.0,58528,58528,True,False,12.899900440000000,89.017700199999993,0,0,,0,18,18,False,False,0,57.055400849999998,4
47,tempmaxann_rcp85_midc,62834,0,0.0,58559,58559,True,False,13.435000420000000,88.280799869999996,0,0,,0,18,18,False,False,0,55.957901000000000,4
48,tempmaxann_rcp85_endc,62834,0,0.0,58292,58292,True,False,17.606500629999999,93.941596980000000,0,0,,0,18,18,False,False,0,63.183300019999997,5
49,tempmaxann_mid45_hist,62834,0,0.0,40679,40679,True,False,1.012990000000000,5.839670180000000,0,0,,0,17,17,False,False,0,2.500760080000000,10
50,tempmaxann_end45_hist,62834,0,0.0,47906,47906,True,False,1.300449970000000,7.721189980000000,0,0,,0,17,17,False,False,0,4.352069850000000,7
51,tempmaxann_mid85_hist,62834,0,0.0,39700,39700,True,False,0.790297990000000,9.198410030000000,0,0,,0,17,17,False,False,0,2.572720050000000,9
52,tempmaxann_end85_hist,62834,0,0.0,46781,46781,True,False,3.466300010000000,17.418399810000000,0,0,,0,17,18,False,False,0,10.009099960000000,8
53,tempmaxann_mid85_45,62834,0,0.0,46927,46927,True,False,-1.805109980000000,4.680009840000000,17069,2,,0,17,18,False,False,0,0.538330020000000,10
54,tempmaxann_end85_45,62834,0,0.0,47746,47746,True,False,1.143399950000000,12.053799630000000,0,0,,0,17,18,False,False,0,3.539959910000000,9
55,tempmax_seas_hist_winter,62834,0,0.0,59176,59176,True,False,-5.139339920000000,77.326103209999999,362,0,,0,17,18,False,False,0,28.513700490000002,4
56,tempmax_seas_rcp85_midc_winter,62834,0,0.0,59096,59096,True,False,1.380550030000000,79.417297360000006,0,0,,0,17,18,False,False,0,34.881698610000001,4
57,tempmax_seas_rcp85_endc_winter,62834,0,0.0,58690,58690,True,False,8.470359800000001,82.145202639999994,0,0,,0,17,18,False,False,0,34.418598179999996,4
58,tempmax_seas_mid85_hist_winter,62834,0,0.0,44664,44664,True,False,1.068420050000000,10.608799930000000,0,0,,0,17,18,False,False,0,4.067249770000000,9
59,tempmax_seas_end85_hist_winter,62834,0,0.0,50274,50274,True,False,3.720900060000000,24.535600660000000,0,0,,0,17,18,False,False,0,10.087400440000000,7
60,tempmax_seas_hist_summer,62834,0,0.0,56959,56959,True,False,26.275400160000000,104.760002139999997,0,0,,0,18,19,False,False,0,77.732299800000007,5
61,tempmax_seas_rcp85_mid_summer,62834,0,0.0,57138,57138,True,False,30.410900120000001,110.627998349999999,0,0,,0,18,19,False,False,0,84.669097899999997,5
62,tempmax_seas_rcp85_end_summer,62834,0,0.0,55632,55632,True,False,33.955001830000000,115.472999569999999,0,0,,0,18,19,False,False,0,101.068000789999999,9
63,tempmax_seas_mid85_hist_summer,62834,0,0.0,45861,45861,True,False,1.346320030000000,9.482029910000000,0,0,,0,17,17,False,False,0,4.749499800000000,8
64,tempmax_seas_end85_hist_summer,62834,0,0.0,42109,42109,True,False,2.660340070000000,17.273500439999999,0,0,,0,17,18,False,False,0,10.439999580000000,11
